ID,Matricula,Nome,CPF
8f0b7a52-9a1a-4a9f-8a50-9574c149c1f2,1,Vitoria Miranda Vieira,119.339.571-23
98b484eb-5a6e-4fa9-9fe7-64205dde8f57,2,Davi Rocha Monteiro,109.411.188-00
45e7d022-5f00-4605-91a5-f3899890d3ce,3,Thiago Pereira Azevedo,501.211.355-19
01ce4717-85d9-4ab3-b4eb-cbcb3cdd7de5,4,Sergio Vieira Ramos,363.782.456-65
a966363d-d70a-4ac9-9a89-e8534a1829f8,5,Vitor Cardoso Martins,115.612.858-70
aa24ec64-3871-44cd-9ad9-9be72cfdb846,6,Bernardo Costa Moraes,492.686.896-26
8d82bc28-4fc2-42a5-afc8-35c415a07544,7,Carlos Souza Melo,952.566.382-54
ffd29f0c-6699-4edc-b5f0-d272da674d9b,8,Daniel Peixoto Gomes,368.130.431-96
136d74d6-efc4-40df-a9c7-087fbd107dd5,9,Miguel Peixoto Miranda,213.387.950-15
5bc3c02d-c740-4389-b338-b7ab860e55fd,10,Paula Ferreira Freitas,842.545.412-36
f0092fac-b9c3-486a-81e6-d068565c367c,11,Murilo Castro Pires,317.113.483-76
7ca56e8e-f192-4563-8dfb-24bdca6c3c38,12,Terezinha Nascimento Lopes,863.459.232-49
a041bf2f-73ed-4032-9061-1123e7083f8d,13,Felipe Campos Pires,864.332.688-70
429451a5-49e3-4934-9571-0257bbb8cc64,14,Rafael Carvalho Peixoto,814.076.897-97
728dc8fb-c9e8-472d-95a0-76cbed17ff51,15,Raimundo Monteiro Ribeiro,334.197.139-40
38cd7b43-a2e7-4a43-9991-465b13d646c0,16,Enzo Freitas Ribeiro,748.370.703-88
132e1c8d-a3c5-4a6f-853f-9d7fb036ba8f,17,Francisco Bastos Azevedo,076.278.873-99
64d1802c-8135-4a32-bd9b-c777aac5c9b5,18,Gabriela Moreira Mendes,166.981.376-26
49575ace-7c1c-4b8d-86f4-03eb874e8f39,19,Thiago Santos Souza,131.236.231-65
e19d6620-ca30-4a1d-a232-ce41b4693b61,20,Amanda Peixoto Freitas,147.821.334-56
7d164375-675e-4639-9fa2-407e208bf808,21,Thiago Silva Souza,979.526.857-08
657d07d0-57a6-4c12-9eee-2dcafc841739,22,Vitoria Andrade Teixeira,075.925.902-04
ea5ffc02-4407-4d9c-b271-fb41ef2a0046,23,Eduardo Teixeira Barbosa,349.196.948-49
bd0b313a-1492-44ac-8afc-24581c71c38e,24,Rita Freitas Gomes,933.206.457-14
47d23553-dc48-461c-9a36-dde6c958b1a3,25,Raquel Araújo Costa,006.980.938-01
1c605c57-76d3-4455-90a6-74a99519efcf,26,Lucas Araújo Ferreira,799.019.279-94
5773a183-6fb3-4905-9f6b-979aa3f18cc2,27,Luiz Fernandes Moraes,762.182.093-42
05e35dd6-2d15-4448-862e-309d64f4690b,28,Mariana Almeida Miranda,354.624.451-64
1db27522-8425-4d96-b552-be5c325ee273,29,Nicolas Guimarães Ramos,476.668.391-97
259d8be3-ff6e-4932-8451-5711897fe2c5,30,Ricardo Viana Barbosa,819.967.345-12
85f84590-a59f-46be-9eaf-ef0426b87247,31,Raquel Cunha Nascimento,112.537.209-59
bd8c74b0-3786-451d-8bb2-f3fc0ef8e599,32,Antônia Costa Cardoso,891.163.090-06
dff11553-2009-41ab-9aec-aaa3758e0e02,33,Guilherme Moreira Moraes,223.076.098-06
75dd3329-a014-49c7-9885-f6be33171558,34,Enzo Ramos Gomes,867.874.608-48
32cd4eaf-2645-4504-abdf-70d55062c6ef,35,Marcos Miranda Bastos,657.908.970-96
35630c79-6b31-414e-9b9c-eaa210ae5e2e,36,Fernando Martins Lima,263.202.728-48
908c15a5-4e5f-4dfc-8a9b-f30421fed3d6,37,Samuel Lima Soares,924.152.275-52
2118b03d-2a24-4b88-bb28-919f5c7c0e30,38,Miguel Santos Miranda,475.551.443-60
23441453-55ef-44c1-a736-05cb08a14cac,39,Felipe Soares Duarte,258.398.313-01
0700f496-f079-47df-8600-3eb9e7c37c37,40,Diego Fernandes Lima,118.963.470-88
b6194d99-e4d2-49a6-9104-70c1902ad1a1,41,Vitor Martins Ferreira,357.597.846-84
303253e3-ba1b-4908-afb8-a505cfb90d43,42,Cristiane Cardoso Vieira,004.712.529-21
16b24226-59d3-45e2-84a9-248c41bb00ee,43,Larissa Moraes Teixeira,435.780.067-69
759fd0d2-a86e-4093-9f89-0a2f7c33b8ef,44,Luciana Dias Nunes,225.261.043-35
e2b3e291-4897-4d06-9df6-193a6267c988,45,Rosa Costa Almeida,529.621.518-41
b4c72b2f-d768-41c9-9c67-3e920fa2b2f7,46,Theo Martins Moreira,014.294.551-01
2fd8c82b-e4d7-45a3-a13d-3bbf1ac144cc,47,Antônia Mendes Duarte,100.500.550-89
104529ca-1ea1-46ae-b38f-f904cb1fd70e,48,Theo Cunha Moreira,636.147.751-78
0dab9efc-457f-46bc-9332-941434c2dc26,49,André Martins Moraes,508.913.093-06
d252cc47-d94e-4dc9-83f8-22f18746c9ac,50,Claudia Nascimento Ferreira,729.393.173-56
afb6713f-20ba-489a-9ec6-bf4b1c0455d8,51,Marcelo Rocha Duarte,643.301.092-04
b1481e7f-0a6f-440f-b9c5-d78e941a3fab,52,Isabel Carvalho Nascimento,889.207.644-25
ffbc5eb1-c0a0-45a4-9e78-c0fbf4ff4d31,53,Isabela Dias Ferreira,709.526.618-29
1c097be1-5991-4f3e-bdf9-db4e12fc9386,54,Eduardo Oliveira Costa,405.006.429-40
58fc82b1-d602-4e44-b38c-7436c12256ff,55,Denise Santos Monteiro,233.676.958-15
cb645b32-b52b-4d57-8075-8e3f38199756,56,Francisco Moreira Monteiro,996.314.459-41
5da19d69-60c6-4b26-b1d8-f53ef63276a9,57,Vinicius Peixoto Lopes,349.192.385-92
e630d816-1be5-4541-bf8c-53062d21bc31,58,Raimundo Costa Oliveira,830.702.038-76
f8065051-82db-4720-98fa-11475592a07d,59,Isabel Pereira Pires,324.573.795-55
35fa5aa8-0ffd-45aa-b092-8800f2868fa9,60,Maria Souza Gomes,171.138.719-33
97c6937e-6d6b-45a0-864d-1625d751b552,61,Marta Borges Viana,578.482.131-88
e7d2b70c-beae-4ae1-9e05-899d58407b90,62,Raimundo Nunes Vieira,067.801.114-14
7edf14d3-28dc-4bb0-bd2d-6d09e0ce63f9,63,Carlos Duarte Almeida,499.910.972-79
880e8152-8fe2-48d3-92ff-5c332720bf9e,64,Vitor Freitas Melo,357.568.141-40
fdb7cef7-fa9b-4e02-b7c4-56555a1dec2d,65,Luzia Andrade Oliveira,789.347.865-90
05b0e95f-0be6-40bb-8327-ee0bf9580366,66,José Martins Almeida,193.614.194-98
20f130d4-ce61-491d-b2ee-9530061eca94,67,Luzia Duarte Soares,906.600.719-24
120e527f-4830-4de4-8483-03d45ec4ee70,68,Sandra Silva Andrade,456.207.583-03
b12a44d8-16c3-4e0f-854f-3c98c4b8f296,69,Daniel Cunha Peixoto,568.969.234-40
58167461-7d66-4cba-b63b-b302bfef5e4e,70,Carla Guimarães Lopes,713.723.512-30
198c8b42-4f2b-4cde-8624-f45a0337f213,71,Leonardo Ferreira Bastos,803.335.993-57
ef238ca6-aee7-474e-9f91-7229ccbebfa5,72,Pedro Henrique Rodrigues Nascimento,911.465.862-30
fbcd7be2-e449-45e7-a409-910411a62be6,73,Matheus Mendes Souza,965.145.474-19
34e2898e-ff0d-47b9-87f1-7b6f2bfac849,74,Enzo Lopes Pereira,529.183.748-90
7587b525-0343-46e4-a497-8fbfc59864d1,75,Cauã Viana Mendes,888.688.985-27
fad5970d-8022-41fc-b791-d6c2d00d9b1a,76,Raquel Souza Ramos,232.628.115-21
0af3ba1a-31bb-4a26-b2f8-63702d92aa93,77,Rita Gomes Martins,642.988.065-61
cb9a7906-27a3-4a5b-99b6-0125b399c547,78,Pedro Henrique Pereira Araújo,864.885.544-68
cdae1391-1459-4888-8827-8894c7a516fd,79,Daniela Araújo Pereira,639.393.683-50
289aaecf-1039-49ec-ad12-71539c677e74,80,Miguel Rocha Teixeira,509.705.361-35
aa9ee9f4-2eb3-4f33-b2d4-68b18a99357e,81,Elaine Costa Melo,489.824.064-09
e9878e1b-2d04-4a9a-bf90-dc8400c73cfb,82,Antônio Andrade Pires,783.009.128-51
0d64186f-88e2-458a-94fe-9f033b057bb4,83,Camila Azevedo Nascimento,691.112.295-35
7d4f3497-a705-4a0f-ada5-73606111063e,84,Matheus Duarte Miranda,531.658.539-91
26e3fd81-d107-4c67-8d4a-637db7cd169f,85,Rosa Bastos Vieira,705.318.082-46
c81d2740-3a8f-4538-ab61-f9f3291ca459,86,Leandro Mendes Lima,957.675.163-24
c53ba85a-a38f-4921-95e4-cc742e57c09e,87,Carlos Miranda Andrade,634.497.596-20
bae08921-3d31-4ce1-8721-e4f26b7c79ec,88,Cristiane Borges Barbosa,811.179.110-04
85ee4e82-1d94-46f3-b7bf-249da9fcb10f,89,Bruna Viana Cunha,540.924.942-97
50568ac1-7d46-47aa-bbad-27083d3a1960,90,Terezinha Bastos Silva,521.001.862-80
ebe67db0-ac21-4ccd-ad93-f72c8788baa9,91,Carlos Nascimento Siqueira,862.042.594-31
41f0eef3-9fb1-476e-b31b-3f89225e2621,92,Maria Ramos Pires,201.193.032-48
d9f0c4a3-1150-41c5-b747-787e9743ae2b,93,Maria Lopes Borges,627.760.475-92
6ed7075e-fa49-4a8b-8878-a1e6ca2468d1,94,Carlos Campos Freitas,365.063.937-85
a3ed0504-0180-45f2-ba84-8c0eb432af87,95,Claudia Gomes Monteiro,297.079.029-73
b3f63dba-785a-490b-83be-edf78dd6fe9f,96,André Castro Rodrigues,714.548.400-56
76e90f8d-97d1-4fa2-b53b-ee843c561384,97,Daniel Duarte Barbosa,838.118.427-49
a315dfb5-73f5-4998-9c15-f5f468f15374,98,Luzia Ramos Teixeira,936.655.227-73
16448af8-fc85-4307-a4eb-201b01226b00,99,Daniela Nunes Ferreira,709.530.509-98
d013e6e3-5795-4987-9aaa-763323e782fc,100,Simone Freitas Azevedo,153.224.082-15
eba47788-90a8-4f57-b020-1257a9526d81,101,Antônio Rocha Lima,693.877.570-21
c7790e67-5fc7-48ff-8b4b-a33cfdc349b8,102,Bruna Siqueira Cavalcanti,165.733.511-93
2ed28d2c-860f-4e6b-b73a-1d11cb787aa5,103,Raquel Melo Freitas,004.183.198-55
dbb2e1c5-eccd-4cea-ad6f-42c179ae980a,104,Heitor Oliveira Ribeiro,804.230.724-12
2a7d9c17-09b2-43fa-a94c-e7633ba2e776,105,Murilo Siqueira Bastos,360.122.693-66
c5e1541a-ae24-41e7-acb6-7174c5ff63e5,106,Antônia Freitas Azevedo,424.958.145-49
f7611c57-fcc3-46b5-8a2f-657685fcf040,107,Bruno Peixoto Cunha,337.604.392-25
2e15cd45-9b61-4cab-82a0-e8c4822cfccf,108,Marcelo Ramos Miranda,907.614.934-84
c3a8db6f-4275-4637-b2ab-adac478efdc6,109,Silvia Moraes Castro,866.410.820-08
eff31e12-4917-4c5d-bcec-00e8766f2652,110,Luzia Araújo Lopes,552.532.958-10
65a3566c-ef25-4735-9925-bd082f9356e9,111,Guilherme Cardoso Melo,697.179.390-04
4681dc16-ef7e-4f35-b61a-086dcf34f58f,112,Beatriz Freitas Duarte,383.076.999-75
7c0f830b-6e39-4853-ad55-053e9336a9d8,113,Bruno Costa Freitas,708.972.434-47
3a1cd042-6223-4095-b292-783c9210bacc,114,Tatiane Teixeira Miranda,327.532.898-08
fd8f11a0-d355-4a76-9466-6396e7182601,115,Cristiane Lima Lopes,355.832.875-27
